English,EnumCode,Key,Simplified Chinese
Data import service,DATA_IMPORT_SERVICE,java.dataImportService,数据导入服务
Increment,INCREMENT,java.increment,增量
Data import task,DATA_IMPORT_TASK,java.dataImportTask,数据导入任务
Full data import service,FULL_DATA_IMPORT_SERVICE,java.fullDataImportService,全量数据导入服务
Full amount,FULL_AMOUNT,java.fullAmount,全量
Full data verification service,FULL_DATA_VERIFICATION_SERVICE,java.fullDataVerificationService,全量数据校验服务
Data validation tasks,DATA_VALIDATION_TASKS,java.dataValidationTasks,数据校验任务
Refresh whitelist failed,REFRESH_WHITELIST_FAILED,java.refreshWhitelistFailed,刷新白名单失败
Expansion system,EXPANSION_SYSTEM,java.expansionSystem,扩容系统
Capacity expansion services,CAPACITY_EXPANSION_SERVICES,java.capacityExpansionServices,扩容服务
Create an increment,CREATE_AN_INCREMENT,java.createAnIncrement,创建增量
Expansion service failed,EXPANSION_SERVICE_FAILED,java.expansionServiceFailed,扩容服务失败
Prohibited to use,PROHIBITED_TO_USE,java.prohibitedToUse,禁止使用
Expansion of the task,EXPANSION_OF_THE_TASK,java.expansionOfTheTask,扩容任务
Full task,FULL_TASK,java.fullTask,全量任务
Expansion,EXPANSION,java.expansion,扩容
Full verification,FULL_VERIFICATION,java.fullVerification,全量校验
Registration failed,REGISTRATION_FAILED,java.registrationFailed,注册任务失败
A new smooth expansion task drds instance,A_NEW_SMOOTH_EXPANSION_TASK_DRDS,java.ANewSmoothExpansionTaskDrds,有新的平滑扩容任务，drds实例
Please pay attention,PLEASE_PAY_ATTENTION,java.pleasePayAttention,请及时关注
Data link deletion,DATA_LINK_DELETION,java.dataLinkDeletion,数据链路删除
Information failed,INFORMATION_FAILED,java.informationFailed,信息失败
create,CREATE,java.create,创建
mission failed,MISSION_FAILED,java.missionFailed,任务失败
Try to close,TRY_TO_CLOSE,java.tryToClose,尝试关闭
operation failed,OPERATION_FAILED,java.operationFailed,操作失败
Incremental task initialization,INCREMENTAL_TASK_INITIALIZATION,java.incrementalTaskInitialization,增量任务初始化
Target library build table stage,TARGET_LIBRARY_BUILD_TABLE_STAGE,java.targetLibraryBuildTableStage,目标库建表阶段
Full stage,FULL_STAGE,java.fullStage,全量阶段
Incremental phase,INCREMENTAL_PHASE,java.incrementalPhase,增量阶段
Stop writing stage,STOP_WRITING_STAGE,java.stopWritingStage,停写阶段
The operation is completed,THE_OPERATION_IS_COMPLETED,java.theOperationIsCompleted,运行完成
No such status,NO_SUCH_STATUS,java.noSuchStatus,无此状态
carry out,CARRY_OUT,java.carryOut,完成
Unknown status,UNKNOWN_STATUS,java.unknownStatus,未知状态
Only in incremental state to stop writing,ONLY_IN_INCREMENTAL_STATE_TO_STOP,java.onlyInIncrementalStateToStop,只有增量状态下才能停写
Failed to update data,FAILED_TO_UPDATE_DATA,java.failedToUpdateData,更新数据失败
Unsupported service type call,UNSUPPORTED_SERVICE_TYPE_CALL,java.unsupportedServiceTypeCall,不支持的服务类型调用
Update service failed,UPDATE_SERVICE_FAILED,java.updateServiceFailed,更新服务失败
Failed to update node,FAILED_TO_UPDATE_NODE,java.failedToUpdateNode,更新节点失败
Unsupported link type,UNSUPPORTED_LINK_TYPE,java.unsupportedLinkType,不支持的链路类型
Unsupported service type,UNSUPPORTED_SERVICE_TYPE,java.unsupportedServiceType,不支持的服务类型
Failed to create timed service,FAILED_TO_CREATE_TIMED_SERVICE,java.failedToCreateTimedService,创建定时服务失败
Create a timer service successfully,CREATE_A_TIMER_SERVICE,java.createATimerService,创建定时服务成功
Can not be empty,CAN_NOT_BE_EMPTY,java.canNotBeEmpty,不可为空
wrong format,WRONG_FORMAT,java.wrongFormat,格式错误
Can not get from mc,CAN_NOT_GET_FROM_MC,java.canNotGetFromMc,从mc中获取不到
DbGroup information,DBGROUP_INFORMATION,java.dbGroupInformation,的dbGroup信息
DetailTopologyVOList information,DETAILTOPOLOGYVOLIST,java.detailTopologyVOList,的detailTopologyVOList信息
The physical table name can not be obtained from the mc topology,THE_PHYSICAL_TABLE_NAME_CAN_NOT_BE,java.thePhysicalTableNameCanNotBe,从mc拓扑中获取不到物理表名
Query dbKey information,QUERY_DBKEY_INFORMATION,java.queryDbKeyInformation,查询不到dbKey的信息
carried out,CARRIED_OUT,java.carriedOut,执行
Permission verification is successful the account can be pulled normally,PERMISSION_VERIFICATION_IS,java.PermissionVerificationIs,权限验证成功，账号可以正常拉取
Anomalies of the main backup and standby backup database update lagged behind the main library more than 1 hour,ANOMALIES_OF_THE_MAIN_BACKUP_AND,java.AnomaliesOfTheMainBackupAnd,主备同步异常，备库的更新落后主库超过1小时
Master and standby synchronization,MASTER_AND_STANDBY,java.masterAndStandby,主备同步正常
Topology information in the lookup table is incorrect,TOPOLOGY_INFORMATION_IN_THE,java.topologyInformationInThe,查询表的拓扑信息出错
The topology information of the lookup table is empty,THE_TOPOLOGY_INFORMATION_OF_THE,java.theTopologyInformationOfThe,查询表的拓扑信息为空
Can not find the main database dbGroup,CAN_NOT_FIND_THE_MAIN_DATABASE,java.canNotFindTheMainDatabase,不能查询到dbGroup的主库
Can not get it,CAN_NOT_GET_IT,java.canNotGetIt,的里拿不到
Topology information,TOPOLOGY_INFORMATION,java.topologyInformation,的拓扑信息
Can not be empty,CAN_NOT_BE_EMPTY,java.canNotBeEmpty,都不能为空
According to the table topology information can not get the physical table name,ACCORDING_TO_THE_TABLE_TOPOLOGY,java.AccordingToTheTableTopology,根据表的拓扑信息，获取不到物理表名
Can not get the table's encoding,CAN_NOT_GET_THE_TABLES_ENCODING,java.canNotGetTheTablesEncoding,获取不到表的编码
The code you select for multiple tables is different and Celeron can not determine what encoding to use to pull the binlog for the database instance. Different coding table can not be placed in the same Jing Wei service you can separate the different coding table to create Jing Wei service,THE_CODE_YOU_SELECT_FOR_MULTIPLE,java.TheCodeYouSelectForMultiple,您选择的多个表的编码不一样，精卫不能确定使用何种编码来拉取数据库实例的binlog。不同编码的表不能放在同一个精卫服务里，您可以把不同编码的表分开建立精卫服务
The list of tasks under service is empty,THE_LIST_OF_TASKS_UNDER_SERVICE_IS,java.theListOfTasksUnderServiceIs,服务下的任务列表为空
Clear the service {1} site,CLEAR_THE_SERVICE_{1}_SITE,java.clearTheService{1}Site,清空服务{1}的位点
Clean up the machine list for task {1},CLEAN_UP_THE_MACHINE_LIST_FOR_TASK,java.cleanUpTheMachineListForTask,为任务{1}清理机器列表
Service does not exist,SERVICE_DOES_NOT_EXIST,java.serviceDoesNotExist,服务不存在
service,SERVICE,java.service,服务
task,TASK,java.task,任务
Turn on the alarm for {1} {2},TURN_ON_THE_ALARM_FOR_{1}_{2},java.turnOnTheAlarmFor{1}{2},为{1}{2}开启报警
Turn off the alarm for {1} {2},TURN_OFF_THE_ALARM_FOR_{1}_{2},java.turnOffTheAlarmFor{1}{2},为{1}{2}关闭报警
The service is running please mount the cluster after ops has stopped,THE_SERVICE_IS_RUNNING_PLEASE,java.TheServiceIsRunningPlease,服务处于运行态，请在ops停止后再挂载集群
The service belongs to the cluster not found (may have been deleted,THE_SERVICE_BELONGS_TO_THE_CLUSTER,java.theServiceBelongsToTheCluster,服务所属集群未找到（可能已被删除
Failed to delete the job,FAILED_TO_DELETE_THE_JOB,java.failedToDeleteTheJob,删除任务失败
Deleting the node corresponding to the task failed,DELETING_THE_NODE_CORRESPONDING,java.deletingTheNodeCorresponding,删除任务对应的节点失败
Delete service failed,DELETE_SERVICE_FAILED,java.deleteServiceFailed,删除服务失败
Failed to delete the node corresponding to the service,FAILED_TO_DELETE_THE_NODE,java.failedToDeleteTheNode,删除服务对应的节点失败
Delete service,DELETE_SERVICE,java.deleteService,删除服务
You do not have permission to delete this service,YOU_DO_NOT_HAVE_PERMISSION_TO,java.youDoNotHavePermissionTo,您没有权限删除此服务
Failed to move to recycle bin,FAILED_TO_MOVE_TO_RECYCLE_BIN,java.failedToMoveToRecycleBin,移到回收站失败
Does not support the unconfigured service to the Recycle Bin,DOES_NOT_SUPPORT_THE_UNCONFIGURED,java.doesNotSupportTheUnconfigured,不支持没有配置完成的服务移到回收站
Does not support the task is not configured to move to the Recycle Bin,DOES_NOT_SUPPORT_THE_TASK_IS_NOT,java.doesNotSupportTheTaskIsNot,不支持没有配置完成的任务移到回收站
Custom tar package file synchronization please start after 3 minutes,CUSTOM_TAR_PACKAGE_FILE,java.CustomTarPackageFile,自定义tar包文件同步中，请3分钟之后再启动
Start the service,START_THE_SERVICE,java.startTheService,启动服务
Custom tarball file center unit is inconsistent please try again in 5 minutes,CUSTOM_TARBALL_FILE_CENTER_UNIT,java.CustomTarballFileCenterUnit,自定义tar包文件中心单元不一致，请5分钟之后再重试
Start full service,START_FULL_SERVICE,java.startFullService,启动全量服务
Out of service,OUT_OF_SERVICE,java.outOfService,停止服务
Stop full service,STOP_FULL_SERVICE,java.stopFullService,停止全量服务
Copy to unit environment successful,COPY_TO_UNIT_ENVIRONMENT,java.copyToUnitEnvironment,复制到单元环境成功
Copy to central environment success,COPY_TO_CENTRAL_ENVIRONMENT,java.copyToCentralEnvironment,复制到中心环境成功
Unlink successful,UNLINK_SUCCESSFUL,java.unlinkSuccessful,取消关联成功
The service associated with the hub environment is successful,THE_SERVICE_ASSOCIATED_WITH_THE,java.theServiceAssociatedWithThe,关联到中心环境的服务成功
Is empty,IS_EMPTY,java.isEmpty,为空
Update failed please try again later,UPDATE_FAILED_PLEASE_TRY_AGAIN,java.UpdateFailedPleaseTryAgain,更新失败，请稍后再试
Update failed,UPDATE_FAILED,java.updateFailed,更新失败
Can not find,CAN_NOT_FIND,java.canNotFind,找不到
Service already exists,SERVICE_ALREADY_EXISTS,java.serviceAlreadyExists,服务已经存在
Distribution Services,DISTRIBUTION_SERVICES,java.distributionServices,分发服务
The accessTable is empty,THE_ACCESSTABLE_IS_EMPTY,java.theAccessTableIsEmpty,的accessTable为空
Mqtopic is empty,MQTOPIC_IS_EMPTY,java.mqtopicIsEmpty,的mqtopic为空
Did not find the target,DID_NOT_FIND_THE_TARGET,java.didNotFindTheTarget,没有找到目标
No cluster node found,NO_CLUSTER_NODE_FOUND,java.noClusterNodeFound,没有找到集群node节点
Did not find the corresponding,DID_NOT_FIND_THE_CORRESPONDING,java.didNotFindTheCorresponding,没有找到对应的
Mount,MOUNT,java.mount,挂载
To the goal,TO_THE_GOAL,java.toTheGoal,到目标
failure,FAILURE,java.failure,失败
The source group where the lookup table is located failed,THE_SOURCE_GROUP_WHERE_THE_LOOKUP,java.theSourceGroupWhereTheLookup,查询表所在的源group失败
Multiple singles selected can only be on the same source,MULTIPLE_SINGLES_SELECTED_CAN,java.multipleSinglesSelectedCan,选择的多个单表只能在同一个源
Service may have been deleted,SERVICE_MAY_HAVE_BEEN_DELETED,java.serviceMayHaveBeenDeleted,服务可能已被删除
Channel already exists please delete first,CHANNEL_ALREADY_EXISTS_PLEASE,java.ChannelAlreadyExistsPlease,通道已存在，请先删除
Update task failed,UPDATE_TASK_FAILED,java.updateTaskFailed,更新任务失败
delete,DELETE,java.delete,删除
Foolish mission to delete the failure,FOOLISH_MISSION_TO_DELETE_THE,java.foolishMissionToDeleteThe,删除愚公任务失败
Mission not found,MISSION_NOT_FOUND,java.missionNotFound,任务未找到
Reason of failure,REASON_OF_FAILURE,java.reasonOfFailure,失败原因
Add {0} success table add failure table {1} you can try again later,ADD_{0}_SUCCESS_TABLE_ADD_FAILURE,java.Add{0}SuccessTableAddFailure,添加成功{0}张表，添加失败{1}张表，您可以稍后重试
Add success {0} list add failure {1} list; delete success {2} list delete failure {3} list; edit success {4} list edit failure {5} Try again later,ADD_SUCCESS_{0}_LIST_ADD_FAILURE,java.AddSuccess{0}ListAddFailure,添加成功{0}张表，添加失败{1}张表；删除成功{2}张表，删除失败{3}张表；编辑成功{4}张表，编辑失败{5}张表；您可以稍后重试
Start asynchronous request drc logic error,START_ASYNCHRONOUS_REQUEST_DRC,java.startAsynchronousRequestDrc,启动异步请求drc逻辑出错
The total number of small table broadcasts supports only JWFULL,THE_TOTAL_NUMBER_OF_SMALL_TABLE,java.theTotalNumberOfSmallTable,小表广播全量仅支持精卫全量（JWFULL）方式
A task is running can not delete the service please stop the running task,A_TASK_IS_RUNNING_CAN_NOT_DELETE,java.ATaskIsRunningCanNotDelete,有任务正在运行，不能删除服务，请先停止正在运行的任务
Hashed field conflicts,HASHED_FIELD_CONFLICTS,java.hashedFieldConflicts,散列字段冲突
Failed to create channel,FAILED_TO_CREATE_CHANNEL,java.failedToCreateChannel,创建通道失败
Request drc interface failed,REQUEST_DRC_INTERFACE_FAILED,java.requestDrcInterfaceFailed,请求drc接口失败
Saved successfully,SAVED_SUCCESSFULLY,java.savedSuccessfully,保存成功
Delete the task,DELETE_THE_TASK,java.deleteTheTask,删除任务
Can not find this cluster,CAN_NOT_FIND_THIS_CLUSTER,java.canNotFindThisCluster,找不到此集群
Can not find that,CAN_NOT_FIND_THAT,java.canNotFindThat,查找不到该
The task is running please mount the cluster after ops has stopped,THE_TASK_IS_RUNNING_PLEASE_MOUNT,java.TheTaskIsRunningPleaseMount,任务处于运行态，请在ops停止后再挂载集群
Do not support this type of task to mount a cluster,DO_NOT_SUPPORT_THIS_TYPE_OF_TASK_TO,java.doNotSupportThisTypeOfTaskTo,不支持此类型的任务挂载集群
Only support the task of starting the fine Wei v3,ONLY_SUPPORT_THE_TASK_OF_STARTING,java.onlySupportTheTaskOfStarting,只支持启动精卫v3的任务
Cleaned the calibration task offline machine error,CLEANED_THE_CALIBRATION_TASK,java.cleanedTheCalibrationTask,清理校验任务离线机器出错
Could not find the task mounted cluster,COULD_NOT_FIND_THE_TASK_MOUNTED,java.couldNotFindTheTaskMounted,找不到任务挂载的集群
Update task failed please try again later,UPDATE_TASK_FAILED_PLEASE_TRY,java.UpdateTaskFailedPleaseTry,更新任务失败，请稍后再试
Start the task,START_THE_TASK,java.startTheTask,启动任务
Start the task on {1},START_THE_TASK_ON_{1},java.startTheTaskOn{1},启动{1}上的任务
Do not support the task of Jingwei v2 stop,DO_NOT_SUPPORT_THE_TASK_OF_JINGWEI,java.doNotSupportTheTaskOfJingwei,不支持精卫v2的任务的停止
The task has not been mounted to the cluster do not stop,THE_TASK_HAS_NOT_BEEN_MOUNTED_TO,java.TheTaskHasNotBeenMountedTo,任务还没有挂载到集群，不用停止
Stop the task,STOP_THE_TASK,java.stopTheTask,停止任务
Stop the task on {1},STOP_THE_TASK_ON_{1},java.stopTheTaskOn{1},停止{1}上的任务
Before starting the task complete the associated aone application settings,BEFORE_STARTING_THE_TASK,java.BeforeStartingTheTask,启动任务之前，请完成关联aone应用设置
Failed to get log list,FAILED_TO_GET_LOG_LIST,java.failedToGetLogList,获取日志列表失败
Refresh successfully,REFRESH_SUCCESSFULLY,java.refreshSuccessfully,刷新成功
Only RTDSQ type supported tasks use this feature,ONLY_RTDSQ_TYPE_SUPPORTED_TASKS,java.onlyRTDSQTypeSupportedTasks,只支持RTDSQ类型的任务使用此功能
The task must add at least one contact,THE_TASK_MUST_ADD_AT_LEAST_ONE,java.theTaskMustAddAtLeastOne,任务必须添加至少一个联系人
Copying to cell environment failed,COPYING_TO_CELL_ENVIRONMENT,java.copyingToCellEnvironment,复制到单元环境失败
Mission related to the central environment is successful,MISSION_RELATED_TO_THE_CENTRAL,java.missionRelatedToTheCentral,关联到中心环境的任务成功
Only supports the task of Jingwei v3,ONLY_SUPPORTS_THE_TASK_OF_JINGWEI,java.onlySupportsTheTaskOfJingwei,只支持精卫v3的任务
Remove the task {1} into the Recycle Bin,REMOVE_THE_TASK_{1}_INTO_THE,java.removeTheTask{1}IntoThe,移除任务{1}进入回收站
Channel has been deleted,CHANNEL_HAS_BEEN_DELETED,java.channelHasBeenDeleted,通道已删除
Jing Wei,JING_WEI,java.jingWei,精卫
"If for a long time (more than 5 minutes) in the second step ""approved is being created"" you can click",IF_FOR_A_LONG_TIME_(MORE_THAN_5,java.IfForALongTime(moreThan5,如果长时间(超过5分钟)处于第二步“审核通过，正在创建”，可以点击
Reassemble service </a> to re-trigger the creation of the channel,REASSEMBLE_SERVICE_</A>_TO,java.reassembleService</a>To,重新装配服务</a>，以重新触发通道的创建
Queried,QUERIED,java.queried,查询到
The information is empty,THE_INFORMATION_IS_EMPTY,java.theInformationIsEmpty,的信息为空
Not ready yet,NOT_READY_YET,java.notReadyYet,还没有准备好
The initial state the task waiting for pre-inspection,THE_INITIAL_STATE_THE_TASK,java.TheInitialStateTheTask,初始状态，任务等待进行预检查
You can click,YOU_CAN_CLICK,java.youCanClick,您可以点击
Assembly Service </a> to re-trigger channel preparation,ASSEMBLY_SERVICE_</A>_TO,java.assemblyService</a>To,装配服务</a>，以重新触发通道的准备
please contact,PLEASE_CONTACT,java.pleaseContact,请联系
Jing Wei on duty,JING_WEI_ON_DUTY,java.jingWeiOnDuty,精卫值班
Service check failed,SERVICE_CHECK_FAILED,java.serviceCheckFailed,服务检查失败
Recheck distribution status,RECHECK_DISTRIBUTION_STATUS,java.recheckDistributionStatus,重新检查分发服务状态
Error setting property by reflection,ERROR_SETTING_PROPERTY_BY,java.errorSettingPropertyBy,通过反射设置属性出错
Could not find the mounted cluster,COULD_NOT_FIND_THE_MOUNTED_CLUSTER,java.couldNotFindTheMountedCluster,找不到挂载的集群
The node does not exist in the node,THE_NODE_DOES_NOT_EXIST_IN_THE_NODE,java.theNodeDoesNotExistInTheNode,在node节点不存在
The task node does not exist,THE_TASK_NODE_DOES_NOT_EXIST,java.theTaskNodeDoesNotExist,任务node不存在
Mission already exists,MISSION_ALREADY_EXISTS,java.missionAlreadyExists,任务已经存在
Mount the task,MOUNT_THE_TASK,java.mountTheTask,挂载任务
Service not found,SERVICE_NOT_FOUND,java.serviceNotFound,服务未找到
The number of tasks does not match the size of the incoming paramsList,THE_NUMBER_OF_TASKS_DOES_NOT_MATCH,java.theNumberOfTasksDoesNotMatch,任务数跟传入的paramsList大小不匹配
Only one configuration is allowed,ONLY_ONE_CONFIGURATION_IS_ALLOWED,java.onlyOneConfigurationIsAllowed,只允许配置一个
The topic of the subscription must be generated by the Sentinel metaq forwarding service,THE_TOPIC_OF_THE_SUBSCRIPTION_MUST,java.theTopicOfTheSubscriptionMust,订阅的topic必须是精卫metaq转发服务生成的
by,BY,java.by,通过
Subscription topic failed,SUBSCRIPTION_TOPIC_FAILED,java.subscriptionTopicFailed,订阅topic失败
Distribution Services Scan Report,DISTRIBUTION_SERVICES_SCAN,java.distributionServicesScan,分发服务扫描报告
Scan the environment,SCAN_THE_ENVIRONMENT,java.scanTheEnvironment,扫描环境
Scan time,SCAN_TIME,java.scanTime,扫描时间
Problem Services / Total Services,PROBLEM_SERVICES_/_TOTAL_SERVICES,java.problemServices/TotalServices,问题服务/服务总量
The number of tasks and,THE_NUMBER_OF_TASKS_AND,java.theNumberOfTasksAnd,任务数量与
The number of mismatched services,THE_NUMBER_OF_MISMATCHED_SERVICES,java.theNumberOfMismatchedServices,数量不匹配的服务
Heartbeat only service,HEARTBEAT_ONLY_SERVICE,java.heartbeatOnlyService,仅包含heartbeat的服务
No task distribution service,NO_TASK_DISTRIBUTION_SERVICE,java.noTaskDistributionService,没有任务的分发服务
Inquire,INQUIRE,java.inquire,查询
Only validates tables that have exactly the same source and destination action mappings,ONLY_VALIDATES_TABLES_THAT_HAVE,java.onlyValidatesTablesThatHave,只支持源和目标action映射完全相同的表的校验
New node failed,NEW_NODE_FAILED,java.newNodeFailed,新增节点失败
New task failed,NEW_TASK_FAILED,java.newTaskFailed,新增任务失败
Source service,SOURCE_SERVICE,java.sourceService,来源服务
Operator,OPERATOR,java.operator,操作人
Failed to update full service configuration,FAILED_TO_UPDATE_FULL_SERVICE,java.failedToUpdateFullService,更新全量服务配置失败
Editing of full-scale missions for non-small table broadcasts has not been realized,EDITING_OF_FULL-SCALE_MISSIONS,java.editingOfFull-scaleMissions,非小表广播全量任务的编辑尚未实现
Small table broadcast tasks require source tables are in a DBGroup,SMALL_TABLE_BROADCAST_TASKS,java.smallTableBroadcastTasks,小表广播任务要求源表都在一个DBGroup中
Update small table broadcast full task failed,UPDATE_SMALL_TABLE_BROADCAST_FULL,java.updateSmallTableBroadcastFull,更新小表广播全量任务失败
Update full service successfully,UPDATE_FULL_SERVICE_SUCCESSFULLY,java.updateFullServiceSuccessfully,更新全量服务成功
New service failed,NEW_SERVICE_FAILED,java.newServiceFailed,新增服务失败
The number of matches for this task is not supported,THE_NUMBER_OF_MATCHES_FOR_THIS_TASK,java.theNumberOfMatchesForThisTask,不支持该任务数量匹配方式
Too many tasks it is recommended to create tasks according to the number of custom tasks,TOO_MANY_TASKS_IT_IS_RECOMMENDED,java.TooManyTasksItIsRecommended,任务数过多，建议按照自定义任务数创建任务
Task list sort exception,TASK_LIST_SORT_EXCEPTION,java.taskListSortException,任务列表排序出现异常
Not connected oracle source library,NOT_CONNECTED_ORACLE_SOURCE,java.notConnectedOracleSource,连接不上oracle源库
Query extent information error,QUERY_EXTENT_INFORMATION_ERROR,java.queryExtentInformationError,查询extent信息出错
Query DbGroupSet error,QUERY_DBGROUPSET_ERROR,java.queryDbGroupSetError,查询DbGroupSet错误
DbGroup can not be found in the preparation of the reservoir,DBGROUP_CAN_NOT_BE_FOUND_IN_THE,java.dbGroupCanNotBeFoundInThe,不能查询到dbGroup的备库
New permission node failed,NEW_PERMISSION_NODE_FAILED,java.newPermissionNodeFailed,新增权限节点失败
node,NODE,java.node,节点
Setup failed,SETUP_FAILED,java.setupFailed,设置失败
Set successfully,SET_SUCCESSFULLY,java.setSuccessfully,设置成功
The table list you selected is blank and will not create a refined guard task,THE_TABLE_LIST_YOU_SELECTED_IS,java.theTableListYouSelectedIs,您选择的表列表为空，将不会创建精卫任务
Service node is empty,SERVICE_NODE_IS_EMPTY,java.serviceNodeIsEmpty,服务节点为空
Cluster,CLUSTER,java.cluster,集群
New cluster failed,NEW_CLUSTER_FAILED,java.newClusterFailed,新增集群失败
The new node corresponding to the cluster failed,THE_NEW_NODE_CORRESPONDING_TO_THE,java.theNewNodeCorrespondingToThe,新增集群对应的节点失败
Failed to delete the cluster,FAILED_TO_DELETE_THE_CLUSTER,java.failedToDeleteTheCluster,删除集群失败
The deletion of the node corresponding to the cluster failed,THE_DELETION_OF_THE_NODE,java.theDeletionOfTheNode,删除集群对应的节点失败
New environment failed,NEW_ENVIRONMENT_FAILED,java.newEnvironmentFailed,新增环境失败
Failed to delete environment,FAILED_TO_DELETE_ENVIRONMENT,java.failedToDeleteEnvironment,删除环境失败
Delete the environment,DELETE_THE_ENVIRONMENT,java.deleteTheEnvironment,删除环境
Remove the environment successfully,REMOVE_THE_ENVIRONMENT,java.removeTheEnvironment,删除环境成功
Center environment is not allowed to delete,CENTER_ENVIRONMENT_IS_NOT_ALLOWED,java.centerEnvironmentIsNotAllowed,中心环境不允许删除
New user failed,NEW_USER_FAILED,java.newUserFailed,新增用户失败
May be just added a new environment multiple web servers did not initialize the new configuration for the environment restart the web server cluster to initialize the configuration of the new environment,MAY_BE_JUST_ADDED_A_NEW,java.MayBeJustAddedANew,可能是刚刚在新增了环境，多台web服务器并没有为新增环境初始化相关配置，请重启web服务器集群，以初始化新增环境的配置
Performing task recovery error,PERFORMING_TASK_RECOVERY_ERROR,java.performingTaskRecoveryError,执行任务恢复出错
Perform the task update error,PERFORM_THE_TASK_UPDATE_ERROR,java.performTheTaskUpdateError,执行任务update出错
Obtain,OBTAIN,java.obtain,获取
Query mc interface error,QUERY_MC_INTERFACE_ERROR,java.queryMcInterfaceError,查询mc接口出错
Distributed sub-library list is empty,DISTRIBUTED_SUB-LIBRARY_LIST_IS,java.distributedSub-libraryListIs,分布的分库列表为空
Not ready yet please wait a few minutes to refresh the page,NOT_READY_YET_PLEASE_WAIT_A_FEW,java.NotReadyYetPleaseWaitAFew,还没有准备就绪，请等待几分钟后刷新页面
corresponding,CORRESPONDING,java.corresponding,对应的
For configuration information please contact,FOR_CONFIGURATION_INFORMATION,java.ForConfigurationInformation,的配置信息，请联系
solve,SOLVE,java.solve,解决
Id does not exist,ID_DOES_NOT_EXIST,java.idDoesNotExist,不存在id为
Service node,SERVICE_NODE,java.serviceNode,的服务节点
No valid data or not ready,NO_VALID_DATA_OR_NOT_READY,java.noValidDataOrNotReady,没有有效数据或者没有准备好
Unsent,UNSENT,java.unsent,未发送
Sent successfully,SENT_SUCCESSFULLY,java.sentSuccessfully,发送成功
Failed to send,FAILED_TO_SEND,java.failedToSend,发送失败
Insert task failed,INSERT_TASK_FAILED,java.insertTaskFailed,插入任务失败
Can not find service,CAN_NOT_FIND_SERVICE,java.canNotFindService,找不到服务
Distribution service access table list is empty the service will not be assembled and this service will be stopped and deleted,DISTRIBUTION_SERVICE_ACCESS,java.DistributionServiceAccess,分发服务接入的表列表为空，将不会装配服务，并且此服务会被停止和删除
